Station,Name,State,Latitude,Longitude,MTS Jan,MTS Feb,MTS Mar,MTS Apr,MTS May,MTS Jun,MTS Jul,MTS Aug,MTS Sep,MTS Oct,MTS Nov,MTS Dec,Events Jan,Events Feb,Events Mar,Events Apr,Events May,Events Jun,Events Jul,Events Aug,Events Sep,Events Oct,Events Nov,Events Dec,MinTemp Jan,MinTemp Feb,MinTemp Mar,MinTemp Apr,MinTemp May,MinTemp Jun,MinTemp Jul,MinTemp Aug,MinTemp Sep,MinTemp Oct,MinTemp Nov,MinTemp Dec
USC00394516,KENNEBEC                           HCN,SD,43.9072,-99.8628,4.8,6.1,8,3.9,0,0,0,0,0.1,0.8,6.3,6.6,2,2.3,2.5,1,0,0,0,0,0,0.2,2,2.5,10.1,14.1,23.4,34,45.9,55.8,62,60,49.3,36,22.6,11.3
USC00394596,KIRLEY 6 N,SD,44.6122,-101.3369,5.6,7.4,9.1,4.3,0.2,0,0,0,0,1.1,6.2,6.5,2,2.1,2.6,1.6,0,0,0,0,0,0.4,1.7,2.5,9.8,13.6,22.7,34,45.4,55,61.2,59.5,48.9,36.2,22.9,11.6
USC00394834,LEAD,SD,44.3544,-103.743,23.8,24.9,32.9,32.8,8,0.9,0,0,2.5,19.6,25.1,27,6.2,5.7,6.9,5.6,1.5,0.1,0,0,0.8,3.4,5.3,6.5,16.9,17.4,23.2,30.5,39.9,48.7,55.6,54.6,45.1,34.2,24.1,16.4
USC00394864,LEMMON,SD,45.9397,-102.1575,4.6,7,8.8,4.1,0.5,0,0,0,0.3,1.3,6.1,7.9,2.6,2.5,2.5,1.3,0.2,0,0,0,0,0.6,1.8,2.8,8.9,12.9,21.1,32,43.1,52.3,58.4,56.9,46.4,34.5,21.5,10.6
USC00394983,LONGVALLEY,SD,43.46,-101.4956,3.4,6.2,9,5.3,0.2,0,0,0,0,1.2,5.7,6.4,2.5,3,3.1,1.8,0.1,0,0,0,0,0.6,2.6,2.9,14,16.6,24.4,33.7,44.5,54.1,60.5,58.8,48.7,36.4,24,14.8
USC00395090,MADISON 2SE,SD,43.9906,-97.0925,5.5,6,6.8,3.5,0,0,0,0,0.1,0.7,7.1,6.4,2,2.4,2.1,0.9,0,0,0,0,0,0.2,1.7,2.6,4.1,10.2,21.6,33.7,45.3,55.2,60,57.8,48.4,35.4,22.2,8.5
USC00395228,MARION,SD,43.4206,-97.2567,6.9,5.6,6.5,3.5,0,0,0,0,0,0.8,4.5,7.9,2.6,1.8,2.1,0.9,0,0,0,0,0,0.4,1.8,2.3,6.8,12.2,23.4,35.9,47.6,58.1,62.5,60.1,49.6,36.2,23.7,10.2
USC00395285,MARTIN 5 E,SD,43.1833,-101.6333,4.3,4.5,7.4,2.4,0.1,0,0,0,0.2,1.2,7.3,5.6,2.2,2.4,3.5,1.2,0.1,0,0,0,0.1,0.7,2.7,2.6,9.4,12,19,28.7,37.9,47.7,54.5,52.9,41.7,29.4,18.5,10.2
USC00395325,MAURINE 12SW,SD,44.8933,-102.6125,5.4,6.5,8.5,6.8,0.8,0,0,0,0,1.3,4.7,5.9,3.1,2.7,3.2,1.9,0.3,0,0,0,0,0.7,2.1,3,7.1,10.5,19.8,30.5,41.7,50.9,57.5,56,44.6,31.6,18.4,7.8
USC00395381,MC INTOSH 6 SE,SD,45.8383,-101.2767,6.4,6.4,9.2,5.4,0.2,0,0,0,0.2,1.6,5.2,6.1,2.3,2.4,2.5,1.7,0.1,0,0,0,0.1,0.5,2,1.9,7.5,12.5,22.3,33.3,43.9,52.7,58.3,57.2,46.9,35.1,21.3,9.9
USC00395456,MELLETTE 4 W                       HCN,SD,45.155,-98.5825,7,7.6,7,3.7,0,0,0,0,0,0.7,6.1,7.3,2.8,2.6,1.9,0.9,0,0,0,0,0,0.3,1.8,2.9,2.5,7.5,19.3,31,44.3,54.6,59.8,56.1,45.1,32.5,20.1,6.8
USC00395481,MENNO                              HCN,SD,43.2358,-97.5714,6.5,6.1,6.4,3.4,0,0,0,0,0,1.1,6,7.2,2.1,2.4,2.3,1.3,0,0,0,0,0,0.3,2.1,2.6,9.7,14.5,25,36.6,48.3,58.1,62.8,60.6,50.9,38.4,24.6,12.3
USC00395536,MILBANK 4 NW                       HCN,SD,45.2836,-96.6689,8.7,8.4,6.4,3.9,0,0,0,0,0,0.5,4.9,7,3.3,2.6,1.6,0.9,0,0,0,0,0,0.2,1.4,2.3,1,7.2,19.1,32.4,45.4,55.7,60.2,57.6,47.5,33.8,20.9,6.7
USC00395544,MILESVILLE 5 NE,SD,44.5208,-101.6192,7,8.9,7.8,5.6,0.3,0,0,0,0,1.5,6.4,4.6,2.5,2.9,2.9,1.4,0.1,0,0,0,0,0.5,2.5,2.9,10.6,14.2,23,34,44.7,54.5,61,59.2,48.6,36,22.7,11.8
USC00395561,MILLER,SD,44.5178,-98.9814,4.2,8.6,7,2.1,0,0,0,0,0,0.5,5.3,6.7,2.3,2.8,2.2,0.8,0,0,0,0,0,0.2,1.7,2.6,7.2,10.8,20.9,32.5,45.1,55.4,60.8,58,48.2,35.1,22,9.8
USC00395620,MISSION,SD,43.3061,-100.6558,5.8,5.9,7.8,4.5,0.1,0,0,0,0.1,0.9,6.3,6.8,2.1,2.4,2.7,1.2,0,0,0,0,0.1,0.4,2.1,2.7,11.6,14.6,22.9,33.2,44.6,54.5,60.9,58.7,47.6,35,22.8,12.7
USC00395638,MISSION 14 S,SD,43.1114,-100.6083,5.1,6,8.2,6.2,0.1,0,0,0,0.3,1.6,6.1,6.1,2.5,3.1,3.4,1.9,0,0,0,0,0.1,0.9,2.5,3.1,11.1,13.9,22,31.6,42.7,53.1,59.3,57.3,46.9,34.7,22.3,12.5
USC00395691,MOBRIDGE 2NNW,SD,45.5656,-100.4489,5,5.9,5.9,3.2,0.1,0,0,0,0,0.6,4.7,5.7,2.1,2.2,2,1.1,0.1,0,0,0,0,0.2,1.8,2,5.6,10,21.2,33.9,46.3,55.9,62.3,60.5,50.1,37.1,22.5,9.6
USC00395870,MT RUSHMORE NATL MEM,SD,43.8769,-103.4578,5.7,6.8,8.7,12,1.2,0.1,0,0,0.7,3.7,8,5.5,2.6,2.9,3.2,2.8,0.5,0,0,0,0.2,1.2,2.2,2.5,18.7,19,24.6,32,41.6,51.3,58.9,57.7,48.2,36.5,26,18.1
USC00395891,MURDO                              HCN,SD,43.8894,-100.7078,6.6,6.7,9.5,5.2,0,0,0,0,0.1,0.8,6.6,7.7,2.1,1.9,2.9,1.3,0,0,0,0,0,0.4,2.1,2.6,12.1,15.3,24.4,35,46,56,62.2,60.9,50.5,37.6,24.4,13.5
USC00396212,OELRICHS,SD,43.1878,-103.2372,5.8,6.9,8.7,5.1,0.3,0,0,0,0.2,2.1,6.7,7.5,2.4,2.5,2.9,1.8,0.1,0,0,0,0.1,0.8,2.2,3,12.2,14.6,22.5,31.2,41.6,50.6,57.6,56.1,45.7,33.2,21.2,11.9
USC00396292,ONIDA 4 NW,SD,44.7317,-100.1447,7.6,8.8,9.2,5.4,0,0,0,0,0,1.6,7,6.9,2.7,3.2,2.9,1.5,0,0,0,0,0,0.5,2.4,3,6.5,10.9,21.2,32.6,44.1,54,59.8,57.8,47.2,34.6,21.2,8.7
USC00396304,ORAL,SD,43.4033,-103.2683,4.6,5.2,6.1,3.9,0.6,0,0,0,0,1.1,2.4,6,2,2.5,2.3,1.4,0.1,0,0,0,0,0.4,1.4,2.2,12.1,14.1,22,30.7,41.5,50.6,56.5,54,42.5,31.6,20.9,11.7
USC00396427,PACTOLA DAM,SD,44.0622,-103.4819,4.6,6.1,11.2,12.1,2.6,0.2,0,0,0.5,3.9,6.2,4.2,1.9,2.2,3.6,3.3,0.8,0,0,0,0.3,1.2,2.1,1.8,10.5,10.9,17.4,25.1,34.9,43.4,49.5,47.5,37.5,28,18.5,10.5
USC00396574,PICKSTOWN,SD,43.0689,-98.5325,4.7,5.3,6.1,2.9,0,0,0,0,0,0.4,3,6.1,1.8,1.8,2,0.7,0,0,0,0,0,0.1,1.1,1.8,11.1,14.9,23.7,35,47.2,57.4,63.2,61.3,51.3,37.8,25.5,14
USC00396636,PLAINVIEW 6 SSW,SD,44.5169,-102.2153,4.3,7.3,10.3,6.6,0.2,0,0,0,0,1,6,6.2,2.3,2.3,2.6,1.6,0,0,0,0,0,0.5,1.9,2,8.3,11.2,20.2,31,42.2,52,58.5,56.6,45.4,32.4,19.4,9.4
USC00396712,POLLOCK,SD,45.9042,-100.2875,6.3,7.1,7.4,3.1,0.2,0,0,0,0,0.8,5.4,6.8,2.7,2.9,2.7,1,0,0,0,0,0,0.3,2.2,3,3.1,8.7,19.8,32.1,44.3,54,59.7,57.6,46.9,34.1,20.2,7.2
USC00396736,PORCUPINE 11 N,SD,43.395,-102.3894,4,5.9,5.9,5.2,0.3,0,0,0,0,1.4,5.7,6,2.2,2.6,2.6,1.3,0.2,0,0,0,0,0.8,2.4,2.7,10.1,13.1,21,30.2,42.2,51.8,58.2,55.8,44.1,30.7,19.1,9.3
USC00396947,RAPID CITY 4NW                     HCN,SD,44.115,-103.2828,2.9,3.7,6,5.8,0.4,0,0,0,0,1.1,3.4,3.1,1.8,1.7,2.2,1.7,0.2,0,0,0,0,0.4,1.3,1.6,13,14.3,21.7,30.8,41.6,51.3,58,55.8,45.3,34.4,22.7,13.5
